case_id,activity,start_timestamp,stop_timestamp,actor
CLM-1001,Submit Claim,2024-01-10 18:00:00,2024-01-10 18:10:00,System
CLM-1001,Validate Documents,2024-01-10 18:38:00,2024-01-10 20:48:00,System
CLM-1001,Assign Adjuster,2024-01-10 21:00:00,2024-01-10 21:22:00,System
CLM-1001,Review Claim,2024-01-10 21:31:00,2024-01-11 00:23:00,Carol
CLM-1001,Approve Claim,2024-01-11 00:49:00,2024-01-11 02:06:00,Dave
CLM-1001,Process Payment,2024-01-11 02:28:00,2024-01-11 03:39:00,System
CLM-1001,Close Claim,2024-01-11 04:02:00,2024-01-11 04:20:00,System
CLM-1002,Submit Claim,2024-01-10 08:00:00,2024-01-10 08:16:00,System
CLM-1002,Validate Documents,2024-01-10 08:28:00,2024-01-10 11:37:00,System
CLM-1002,Assign Adjuster,2024-01-10 12:01:00,2024-01-10 12:16:00,System
CLM-1002,Review Claim,2024-01-10 12:38:00,2024-01-10 16:19:00,Alice
CLM-1002,Approve Claim,2024-01-10 16:46:00,2024-01-10 17:57:00,Dave
CLM-1002,Process Payment,2024-01-10 18:24:00,2024-01-10 20:33:00,System
CLM-1002,Close Claim,2024-01-10 20:51:00,2024-01-10 21:03:00,System
CLM-1003,Submit Claim,2024-01-14 07:00:00,2024-01-14 07:10:00,System
CLM-1003,Validate Documents,2024-01-14 07:39:00,2024-01-14 09:19:00,System
CLM-1003,Assign Adjuster,2024-01-14 09:46:00,2024-01-14 10:14:00,System
CLM-1003,Review Claim,2024-01-14 10:29:00,2024-01-14 14:51:00,Carol
CLM-1003,Approve Claim,2024-01-14 15:00:00,2024-01-14 15:43:00,Dave
CLM-1003,Process Payment,2024-01-14 16:12:00,2024-01-14 17:55:00,System
CLM-1003,Close Claim,2024-01-14 18:03:00,2024-01-14 18:10:00,System
CLM-1004,Submit Claim,2024-01-16 00:00:00,2024-01-16 00:21:00,System
CLM-1004,Validate Documents,2024-01-16 00:45:00,2024-01-16 02:52:00,System
CLM-1004,Assign Adjuster,2024-01-16 03:22:00,2024-01-16 03:38:00,System
CLM-1004,Review Claim,2024-01-16 04:06:00,2024-01-16 10:01:00,Alice
CLM-1004,Approve Claim,2024-01-16 10:23:00,2024-01-16 11:00:00,Dave
CLM-1004,Process Payment,2024-01-16 11:17:00,2024-01-16 12:27:00,System
CLM-1004,Close Claim,2024-01-16 12:49:00,2024-01-16 13:03:00,System
CLM-1005,Submit Claim,2024-01-16 02:00:00,2024-01-16 02:28:00,System
CLM-1005,Validate Documents,2024-01-16 02:39:00,2024-01-16 06:39:00,System
CLM-1005,Assign Adjuster,2024-01-16 06:46:00,2024-01-16 07:02:00,System
CLM-1005,Review Claim,2024-01-16 07:28:00,2024-01-16 11:24:00,Carol
CLM-1005,Request Additional Info,2024-01-16 11:53:00,2024-01-16 12:32:00,Carol
