case_id,activity,start_timestamp,stop_timestamp,actor
LOAN-2001,Submit Application,2024-03-04 09:00:00,2024-03-04 09:12:00,System
LOAN-2001,Credit Check,2024-03-04 09:30:00,2024-03-04 10:15:00,System
LOAN-2001,Income Verification,2024-03-04 10:30:00,2024-03-04 11:45:00,System
LOAN-2001,Assign Underwriter,2024-03-04 12:00:00,2024-03-04 12:18:00,System
LOAN-2001,Review Application,2024-03-04 12:30:00,2024-03-04 15:12:00,Emma
LOAN-2001,Approve Loan,2024-03-04 15:25:00,2024-03-04 15:58:00,Henry
LOAN-2001,Disburse Funds,2024-03-04 16:14:00,2024-03-04 18:22:00,System
LOAN-2001,Close Application,2024-03-04 18:35:00,2024-03-04 18:44:00,System
LOAN-2002,Submit Application,2024-03-05 14:00:00,2024-03-05 14:21:00,System
LOAN-2002,Credit Check,2024-03-05 14:40:00,2024-03-05 15:38:00,System
LOAN-2002,Income Verification,2024-03-05 15:50:00,2024-03-05 17:20:00,System
LOAN-2002,Assign Underwriter,2024-03-05 17:30:00,2024-03-05 17:45:00,System
LOAN-2002,Review Application,2024-03-05 18:00:00,2024-03-05 21:30:00,Frank
LOAN-2002,Approve Loan,2024-03-05 21:48:00,2024-03-05 22:19:00,Henry
LOAN-2002,Disburse Funds,2024-03-05 22:35:00,2024-03-06 00:48:00,System
LOAN-2002,Close Application,2024-03-06 01:05:00,2024-03-06 01:14:00,System
LOAN-2003,Submit Application,2024-03-06 09:00:00,2024-03-06 09:18:00,System
LOAN-2003,Credit Check,2024-03-06 09:35:00,2024-03-06 10:22:00,System
LOAN-2003,Income Verification,2024-03-06 10:45:00,2024-03-06 12:10:00,System
LOAN-2003,Assign Underwriter,2024-03-06 12:25:00,2024-03-06 12:40:00,System
LOAN-2003,Review Application,2024-03-06 13:00:00,2024-03-06 16:45:00,Grace
LOAN-2003,Request Documents,2024-03-06 17:00:00,2024-03-06 17:35:00,Grace
LOAN-2003,Receive Documents,2024-03-06 17:48:00,2024-03-08 10:15:00,System
LOAN-2003,Review Application,2024-03-08 10:30:00,2024-03-08 13:20:00,Grace
LOAN-2003,Approve Loan,2024-03-08 13:40:00,2024-03-08 14:15:00,Henry
LOAN-2003,Disburse Funds,2024-03-08 14:35:00,2024-03-08 16:50:00,System
LOAN-2003,Close Application,2024-03-08 17:05:00,2024-03-08 17:18:00,System
LOAN-2004,Submit Application,2024-03-07 10:00:00,2024-03-07 10:14:00,System
LOAN-2004,Credit Check,2024-03-07 10:30:00,2024-03-07 11:18:00,System
LOAN-2004,Income Verification,2024-03-07 11:30:00,2024-03-07 12:45:00,System
LOAN-2004,Assign Underwriter,2024-03-07 13:00:00,2024-03-07 13:22:00,System
LOAN-2004,Review Application,2024-03-07 13:35:00,2024-03-07 18:55:00,Emma
LOAN-2004,Reject Loan,2024-03-07 19:10:00,2024-03-07 19:35:00,Henry
LOAN-2004,Close Application,2024-03-07 19:48:00,2024-03-07 20:00:00,System
LOAN-2005,Submit Application,2024-03-08 08:00:00,2024-03-08 08:22:00,System
LOAN-2005,Credit Check,2024-03-08 08:40:00,2024-03-08 09:35:00,System
LOAN-2005,Income Verification,2024-03-08 09:50:00,2024-03-08 11:20:00,System
LOAN-2005,Assign Underwriter,2024-03-08 11:35:00,2024-03-08 11:50:00,System
LOAN-2005,Review Application,2024-03-08 12:10:00,2024-03-08 15:40:00,Frank
LOAN-2005,Request Documents,2024-03-08 15:55:00,2024-03-08 16:32:00,Frank
LOAN-2005,Receive Documents,2024-03-08 16:45:00,2024-03-10 09:20:00,System
LOAN-2005,Review Application,2024-03-10 09:35:00,2024-03-10 12:50:00,Frank
LOAN-2005,Request Documents,2024-03-10 13:05:00,2024-03-10 13:48:00,Frank
LOAN-2005,Receive Documents,2024-03-10 14:00:00,2024-03-12 08:30:00,System
LOAN-2005,Review Application,2024-03-12 08:45:00,2024-03-12 11:20:00,Frank
LOAN-2005,Approve Loan,2024-03-12 11:35:00,2024-03-12 12:10:00,Henry
LOAN-2005,Disburse Funds,2024-03-12 12:30:00,2024-03-12 14:45:00,System
LOAN-2005,Close Application,2024-03-12 15:00:00,2024-03-12 15:12:00,System
LOAN-2006,Submit Application,2024-03-11 07:00:00,2024-03-11 07:19:00,System
LOAN-2006,Credit Check,2024-03-11 07:35:00,2024-03-11 08:28:00,System
LOAN-2006,Income Verification,2024-03-11 08:45:00,2024-03-11 10:05:00,System
LOAN-2006,Assign Underwriter,2024-03-11 10:20:00,2024-03-11 10:38:00,System
LOAN-2006,Review Application,2024-03-11 11:00:00,2024-03-11 14:30:00,Grace
LOAN-2006,Approve Loan,2024-03-11 14:45:00,2024-03-11 15:22:00,Henry
LOAN-2006,Disburse Funds,2024-03-11 15:40:00,2024-03-11 17:55:00,System
LOAN-2006,Close Application,2024-03-11 18:10:00,2024-03-11 18:20:00,System
LOAN-2007,Submit Application,2024-03-12 15:00:00,2024-03-12 15:17:00,System
LOAN-2007,Credit Check,2024-03-12 15:30:00,2024-03-12 16:25:00,System
LOAN-2007,Income Verification,2024-03-12 16:40:00,2024-03-12 18:00:00,System
LOAN-2007,Assign Underwriter,2024-03-12 18:15:00,2024-03-12 18:32:00,System
LOAN-2007,Review Application,2024-03-12 18:50:00,2024-03-12 23:10:00,Emma
LOAN-2007,Request Documents,2024-03-12 23:25:00,2024-03-13 00:05:00,Emma
LOAN-2007,Receive Documents,2024-03-13 00:20:00,2024-03-14 11:00:00,System
LOAN-2007,Review Application,2024-03-14 11:15:00,2024-03-14 15:40:00,Emma
LOAN-2007,Reject Loan,2024-03-14 15:55:00,2024-03-14 16:22:00,Henry
LOAN-2007,Close Application,2024-03-14 16:35:00,2024-03-14 16:44:00,System
LOAN-2008,Submit Application,2024-03-13 10:00:00,2024-03-13 10:09:00,System
LOAN-2008,Credit Check,2024-03-13 10:25:00,2024-03-13 11:10:00,System
LOAN-2008,Income Verification,2024-03-13 11:22:00,2024-03-13 12:30:00,System
LOAN-2008,Assign Underwriter,2024-03-13 12:45:00,2024-03-13 13:00:00,System
LOAN-2008,Review Application,2024-03-13 13:15:00,2024-03-13 15:48:00,Frank
LOAN-2008,Approve Loan,2024-03-13 16:02:00,2024-03-13 16:40:00,Henry
LOAN-2008,Disburse Funds,2024-03-13 16:55:00,2024-03-13 18:20:00,System
LOAN-2008,Close Application,2024-03-13 18:35:00,2024-03-13 18:44:00,System
LOAN-2009,Submit Application,2024-03-14 12:00:00,2024-03-14 12:25:00,System
LOAN-2009,Credit Check,2024-03-14 12:45:00,2024-03-14 13:40:00,System
LOAN-2009,Income Verification,2024-03-14 14:00:00,2024-03-14 15:30:00,System
LOAN-2009,Assign Underwriter,2024-03-14 15:45:00,2024-03-14 16:05:00,System
LOAN-2009,Review Application,2024-03-14 16:20:00,2024-03-14 20:35:00,Grace
LOAN-2009,Request Documents,2024-03-14 20:50:00,2024-03-14 21:30:00,Grace
LOAN-2009,Receive Documents,2024-03-14 21:45:00,2024-03-16 14:20:00,System
LOAN-2009,Review Application,2024-03-16 14:40:00,2024-03-16 17:10:00,Grace
LOAN-2009,Approve Loan,2024-03-16 17:25:00,2024-03-16 18:00:00,Henry
LOAN-2009,Disburse Funds,2024-03-16 18:20:00,2024-03-16 20:35:00,System
LOAN-2009,Close Application,2024-03-16 20:50:00,2024-03-16 21:02:00,System
LOAN-2010,Submit Application,2024-03-15 09:00:00,2024-03-15 09:16:00,System
LOAN-2010,Credit Check,2024-03-15 09:30:00,2024-03-15 10:20:00,System
LOAN-2010,Income Verification,2024-03-15 10:35:00,2024-03-15 11:50:00,System
LOAN-2010,Assign Underwriter,2024-03-15 12:05:00,2024-03-15 12:22:00,System
LOAN-2010,Review Application,2024-03-15 12:40:00,2024-03-15 16:15:00,Emma
LOAN-2010,Approve Loan,2024-03-15 16:30:00,2024-03-15 17:05:00,Henry
LOAN-2010,Disburse Funds,2024-03-15 17:25:00,2024-03-15 19:40:00,System
LOAN-2010,Close Application,2024-03-15 19:55:00,2024-03-15 20:05:00,System
LOAN-2011,Submit Application,2024-03-18 11:00:00,2024-03-18 11:20:00,System
LOAN-2011,Credit Check,2024-03-18 11:40:00,2024-03-18 12:35:00,System
LOAN-2011,Income Verification,2024-03-18 12:50:00,2024-03-18 14:15:00,System
LOAN-2011,Assign Underwriter,2024-03-18 14:30:00,2024-03-18 14:48:00,System
LOAN-2011,Review Application,2024-03-18 15:05:00,2024-03-18 20:30:00,Frank
LOAN-2011,Reject Loan,2024-03-18 20:45:00,2024-03-18 21:10:00,Henry
LOAN-2011,Close Application,2024-03-18 21:22:00,2024-03-18 21:30:00,System
LOAN-2012,Submit Application,2024-03-19 08:00:00,2024-03-19 08:14:00,System
LOAN-2012,Credit Check,2024-03-19 08:30:00,2024-03-19 09:22:00,System
LOAN-2012,Income Verification,2024-03-19 09:40:00,2024-03-19 11:00:00,System
LOAN-2012,Assign Underwriter,2024-03-19 11:15:00,2024-03-19 11:30:00,System
LOAN-2012,Review Application,2024-03-19 11:45:00,2024-03-19 15:20:00,Grace
LOAN-2012,Request Documents,2024-03-19 15:35:00,2024-03-19 16:10:00,Grace
LOAN-2012,Receive Documents,2024-03-19 16:25:00,2024-03-21 09:45:00,System
LOAN-2012,Review Application,2024-03-21 10:00:00,2024-03-21 13:30:00,Grace
LOAN-2012,Approve Loan,2024-03-21 13:45:00,2024-03-21 14:20:00,Henry
LOAN-2012,Disburse Funds,2024-03-21 14:40:00,2024-03-21 16:55:00,System
LOAN-2012,Close Application,2024-03-21 17:10:00,2024-03-21 17:22:00,System
